X,Y
0.396944059656982,1.0
0.3619749087127606,0.9977665564428679
0.3251085665272475,0.9953451570495968
0.2849349689322769,0.9934878863152328
0.25045895916032546,0.9905724106887358
0.2099306255972282,0.9887021557964059
0.17368980378841803,0.9859990118378575
0.14480077443067918,0.9825515606001743
0.10972629896600594,0.9800493823282049
0.07462280234549379,0.9772001831200406
0.04157378505062859,0.9744049671157928
0.015429625461701235,0.9700934663271068
0.0018538972871717796,0.9643101631958665
0.013805932500312146,0.9584400975332422
0.03069143803407215,0.9530775225804463
0.04826169570217953,0.9485274031616407
0.06911296283959834,0.9435848470715694
0.0836016618746096,0.9385098439518067
0.09756446435987565,0.9331058347310189
0.11991793290167152,0.9284648778125345
0.13861634305995674,0.9237847718428549
0.15536781169757674,0.9188649953820751
0.17018637996775698,0.9133964925535187
0.188558844518528,0.9085358703985447
0.2152937716286556,0.9042870175217724
0.2519483729433496,0.9017578481407792
0.2887836879731358,0.8993699689499763
0.32240863033266143,0.898620140021099
0.3549140236936017,0.8974175421191115
0.3963569661715147,0.8956141370011129
0.4496313922979369,0.8950704435161284
0.4940553680680191,0.89410773112498
0.5445313753616232,0.8930151320871964
0.5969313617121355,0.8928701661772992
0.6398605254299277,0.8912072873896293
0.6942009564957741,0.890930399952025
0.7401791023318691,0.8902133561012424
0.7890175643032582,0.8888872381895231
0.8426456402563485,0.888805005434559
0.8849782571782483,0.8872497591299326
0.9338899906161653,0.8865223233784831
0.9701259116507068,0.8842932933694245
0.9874236473101203,0.8801999053275362
0.9742200074909055,0.8760976644626286
0.9339246643694672,0.8742140489249627
0.8878250978647819,0.8729123952310939
0.8525127127000234,0.8697981795296637
0.8283731128581162,0.866041126582524
0.7919882703844205,0.8637918644179589
0.7505476663060162,0.8618415692343667
0.7130514648822808,0.859690102911473
0.6670182042021109,0.8583424331779007
0.6330319626810796,0.8548707743574836
0.6225733443237167,0.848968693867939
0.6118221834416868,0.842645043169347
0.6115830446702484,0.8353661612889355
0.6121981957779905,0.8281020140720745
0.6245201081936274,0.8220630859115682
0.6372278231795336,0.8168680008902887
0.6291354093821102,0.8124977312172921
0.6154968008085357,0.8070147548377634
0.6115852296472686,0.799940653681076
0.607955945607102,0.7936376339564412
0.5843622757690601,0.7897884276323319
0.5580453188648189,0.7857474556175579
0.5583108806621984,0.7798052176301639
0.5723827369723367,0.7743586826933068
0.5937790507970648,0.7699837602099919
0.6074520506711925,0.7645002124986454
0.611576630910788,0.7582171887566325
0.6115830446702484,0.7509364872097367
0.6115828009548521,0.7436511916544477
0.6102559320864,0.7368133502365498
0.5974299773850835,0.7310920487655651
0.5959013254137662,0.7238653746439306
0.5959005950031822,0.7165798232987207
0.5959005950031822,0.7092942612353208
0.5959005730689308,0.7020087252431936
0.5955823421937487,0.6948707860284817
