X,Y
162.4134274574449,483.7598209787941
160.18360037770884,482.6814599557974
157.83279785844843,481.51234927087614
155.27110638499596,480.61561366155433
153.0727247224453,479.207950920729
150.4884133155221,478.3049462432581
148.17749744598686,476.9998024104806
146.33537265228148,475.3352888697072
144.09882949676086,474.1271761719563
141.860435791329,472.75151330238157
139.75304708634434,471.40191484030623
138.08595041816045,469.3202171021692
137.22028666901804,466.5278972958372
137.9824147463834,463.6936864232178
139.0591282632277,461.1045044429849
140.17950537529367,458.9075958103257
141.50909785479053,456.5212091812622
142.43297769133406,454.0708738958851
143.3233234460913,451.4616864404853
144.74870462163173,449.22091924745763
145.94101899567704,446.96124993766887
147.00918557636115,444.5858618692217
147.95409970551663,441.94553532699433
149.12562997921833,439.5987084001617
150.83039726224507,437.54725860187705
153.16769800880323,436.32611393837726
155.51652206446988,435.17318762476435
157.66063494691963,434.8111519296
159.73335917374777,434.23050833119794
162.37599111950465,433.35978035523794
165.77306410602293,433.0972718800216
168.60578327383095,432.6324508570523
171.82441354940624,432.1049173931565
175.16572740425352,432.03492431614444
177.90312906210457,431.2320458798996
181.36817643795968,431.098357871749
184.29999811200923,430.7521516119157
187.4142094124257,430.11186954016625
190.83383307400914,430.07216556041544
193.5331955983985,429.3212547121367
196.65207909404486,428.97003098920334
198.9626824630223,427.8938009348628
200.06568205980977,425.9174133506422
199.22374472861952,423.93675140754783
196.654290084932,423.027295884643
193.71472595538808,422.3988257339533
191.46301235742152,420.8952064376864
189.92373754038817,419.0812096404121
187.6036381142057,417.9952110079314
184.96115527777533,417.0535609256591
182.57018943890645,416.01478051077464
179.634853336611,415.3640926937864
177.46770201506686,413.68789114164696
176.80080248218798,410.8382227297499
176.1152488148545,407.7850099388414
176.09999999999997,404.2705882352941
176.13922544760553,400.76328078668695
176.92493894755148,397.8475389815394
177.73525335988424,395.33922522531645
177.2192361579022,393.2291524364631
176.3495628056442,390.5818377108169
176.10013932625745,387.16628913527853
175.86871603989496,384.1230374817854
174.3642527488321,382.2645467864925
172.68613756511127,380.3134669385878
172.70307125869977,377.444409507289
173.60037089038232,374.8146895989702
174.9647185706852,372.70237031981327
175.836584903076,370.0547797412306
176.09959102311203,367.0211826358487
176.09999999999997,363.50588235294117
176.09998445935412,359.98836397073364
